question,answer
What is the best chemical for the treatment of bean seeds?,"Thiram: This is a fungicide that is used to protect bean seeds against various soil-borne diseases, including Fusarium and Rhizoctonia"
what are organic fertilizers?,"organic fertilizers, which are made from natural materials such as manure and compost"
which cassava variety was developed by the International Institute of Tropical Agriculture (IITA) and is popular in many African countries.,TME 419
what is the impact of using old seeds.,"Using old seeds may also increase the risk of seed-borne diseases and pests, which can cause further damage to the crop and reduce yields"
why do beans need to be intercropped with groundnuts and other legumes.,"roundnuts fix nitrogen in the soil, which can benefit the growth of other crops. Groundnuts can also provide a support structure for climbing beans."
where are the south americans beetles,South America
what are the symptoms of cassava mosaic disease.,"ellowing and mosaic patterns on the leaves, stunted growth, and reduced tuber yield"
how is low-till farming done?,"In low-till, fields are covered once, maybe twice, with a tillage implement either ahead of crop planting or after the previous harvest. The fields are planted and fertilized. Weeds are controlled through the use of herbicides, and no cultivation tillage is done during the growing season."
what is the importane of organic farming?,This approach seeks to minimize the use of synthetic chemicals and promote the health of the soil and the environment
what kind of information is collected by tools used in precision agriculture?,"soil moisture, nutrient levels, and other factors"
Which fertilizer is best for increase of productive of beans,Phosphorus (P) ne potassium (K) bye biriisa bibiri ebikulu
where can we find cassava whitefly.,warm and humid regions
what are some of the pest management practices for armyworm.,"planting cassava in well-drained soil, maintaining a healthy crop by providing adequate water and nutrients, and rotating crops to reduce armyworm populations."
name ways how farmers can minimize negative impact of burning maize residues.,"farmers can adopt several practices, including: Incorporating maize residues into the soil: Instead of burning, farmers can plow or till the maize residues into the soil to help build soil organic matter and improve soil health. Using maize residues for mulch: Maize residues can be spread on the soil surface as a mulch to help conserve soil moisture, suppress weeds, and improve soil fertility. Composting maize residues: Maize residues can be composted to produce a nutrient-rich soil amendment that can be used to improve soil fertility. Rotating crops: Crop rotation can help to break pest and disease cycles, reducing the need for burning to control these problems."
define embryo dormancy?,occurs when the embryo is immature and unable to germinate even under favorable conditions
which insects are known to transmit maize streak virus from one maize plant to another.,Cicadulina species
Give one example of natural erosion caused by water.,Grand Canyon
Commonly used nitrogen-rich fertilizers for top-dressing maize include?,urea and ammonium sulfate
what is Livestock management.,"involves taking care of different animals that are raised for various purposes, such as meat, milk, wool, and eggs."
what is the right spacing for beans when plantimg?,about 2-4 inches apart
what is a major source of greenhouse gas emissions,Animal husbandry
What is the reason as cassava is called staple food,"Cassava is high in carbohydrates, with around 38-40% of its dry weight consisting of starch. This makes cassava an important source of energy for people who rely on it as a staple food."
how are cover crops used in agroecosystem where water for crop production is in short supply,cover crops can be used as a mulch to conserve water by shading and cooling the soil surface
what is animal welfare?,kitegeeza embeera ensolo mw’ekuzibwa
How long should artificial fertilizers be used in a certain piece of land in order to avoid degradation?,"Okusobola okutangira ettaka okuvunda, era kirungi abalimi okugezesa ettaka lyabwe buli luvannyuma lwa kiseera okulaba oba balina ebiriisa ne pH n’okutereeza emiwendo gy’okusiiga ebigimusa okusinziira ku bivudde mu kukebera. Kino kiyinza okuyamba okukakasa nti ebigimusa bisiigibwa mu bungi obusaanidde n’okuziyiza ebiriisa ebisukkiridde okukuŋŋaanyizibwa mu ttaka, ekiyinza okuvaako obucaafu bw’obutonde.Omwaka gumu oluvannyuma lw’omwaka, Okugimusa kisinziira ku birime n’ebintu ebiramu ebiri mu ttaka. kyandibadde kirungi bulijjo okusiiga ebigimusa oluvannyuma lw’okwekenneenya ettaka. wabula mu buzaale, ettaka lyaffe (naddala mu buganda) mbi. nga bwe kibadde, obutaba n, p ne k. okukulugguka kw’ettaka nakyo kireeta okukendeera kw’ettaka okungi. kirungi ebigimusa ebitali biramu bikozesebwa buli sizoni y’ebirime. jjukira ebigimusa tebijja kukola bulungi singa ettaka teriba na biramu"
What is Consumptive water use?,is the term that describes water used and not returned to the original source.
what is the use of cow's special stomach,to store food for later chewing and digestion once they were hidden and out of danger
which plant nutrient helps in formation of chlorophyll .,magnesium (Mg)
name two commonly used nitrogen-based fertilizers that can be applied 4-6 weeks after germination.,"Urea: Urea is a widely used nitrogen fertilizer that contains a high concentration of nitrogen. It is typically applied in granular form and can be broadcasted or applied as a side-dressing around the base of the plants. Urea is readily available to plants and helps promote vigorous growth and greening. Ammonium Nitrate: Ammonium nitrate is another nitrogen-based fertilizer that provides a quick-release source of nitrogen. It is commonly used for top-dressing or side-dressing application in the early stages of crop growth. Ammonium nitrate delivers nitrogen rapidly to the plants, stimulating growth and improving overall plant health."
why is crop rotation important?,help to maintain soil health and improve crop yields over time
what is cassava mealybug,kiwuka kitono ekisonseka omubisi nga kirya ekimera kya muwogo
which farm tool was used by farmers to thresh or beat the dried wheat in order to separate its edible grain seeds from its stalks,flails
what is the use of wind mill.,"to saw wood and make typical household items, such as oil, paper, spices, chalk, and pottery."
which year was Apple farming introduced in Uganda?,1999. Omuwandiisi w’ebitabo
which species of armyworms are the most common.,okugwa armyworm
how does clover cover crop enhanced songbird habitat.,"by providing cover and nesting sites, and an increased food source from higher arthropod populations"
Want to find out more about the National Organic Program?,Visit www.ams.usda.gov/AMSv1.0/nop
what is available water capacity.,This refers to the amount of water in the soil that is available to plants between field capacity and the wilting point. This is the amount of water that plants can use without becoming water-stressed.
which bean variety is tolerance to heavy rains.,Robusta: Robusta beans are known for their good resistance to waterlogging and heavy rains. They have a relatively quick growth cycle and are suitable for areas with high rainfall. Akunduny: Akunduny is a climbing bean variety that performs well in areas with heavy rainfall. It has good disease resistance and can withstand waterlogged conditions. Katumani: Katumani is a bean variety that is popular in regions with heavy rainfall. It has good water tolerance and can withstand periods of excessive moisture.
How can Tillage improve productivity.,"warming the soil, incorporating fertilizer and controlling weeds, but also renders soil more prone to erosion, triggers the decomposition of organic matter releasing CO2, and reduces the abundance and diversity of soil organisms."
"which pest feeds on the underside of the cassava leaves, causing them to turn yellow and dry up",Cassava green mite
which tools are used by farmers to gather information to help automate input application.,drones
which part of cassava is affected by CBSD,roots
how long should you boil maize to retain protein nutrients.,"To retain the protein content, maize grains should be boiled for 30 to 45 minutes."
what is Tillage.,"is the practice of breaking up the soil with tools such as the plow or harrow to prepare for planting, for nutrient incorporation, or for pest control."
Some maize varieties are more adapted to greenhouse growing conditions. which one are those?,"ebika ebimpi, ebibisi"
How can i improve fertility of soil for proper production of maize without application of fertilizer,"Organic matter incorporation: Increase the organic matter content of the soil by incorporating organic materials such as compost, farmyard manure, cover crops, or crop residues. This improves soil structure, enhances nutrient retention, and promotes microbial activity. Crop rotation and diversification: Rotate maize with leguminous crops (such as beans, peas, or clover) that fix nitrogen from the atmosphere and improve soil nitrogen levels. Crop rotation also helps break pest and disease cycles and promotes overall soil health. Green manure cover crops: Plant cover crops like clover, vetch, or hairy vetch during fallow periods. These cover crops add organic matter, prevent soil erosion, and improve soil structure. Mulching: Apply organic mulch, such as straw or crop residues, to the soil surface. Mulching helps conserve soil moisture, suppress weed growth, and slowly release nutrients into the soil as it decomposes."
how can a farmer overcomes physical seed dormancy.,nga bakozesa enkola ya scarification ey’ebyuma
why do farmers plant cover crops?,"Ebirime ebibikka biddukanya okukulugguka kw’ettaka, obugimu bw’ettaka, omutindo gw’ettaka, amazzi, omuddo, ebiwuka, endwadde, ebitonde eby’enjawulo n’ebisolo by’omu nsiko mu agroecosystem"
why do farmers practice irrigation.,okukuuma amazzi nga bwe balaba ng’ebirime bifuna obunnyogovu obwetaagisa okukula obulungi.
give examples of Potassium Fertilizers.,potassium chloride ne potassium sulphate
Are we losing family farms because corporate farms are taking over American Agriculture?,Ennimiro za America s zikyali faamu za famire
give two cultural crop protection practices.,crop rotation and intercropping.
Why is it that loam soil is dark in colour?,"The dark color of loam soil is due to the presence of organic matter, which is composed of decaying plant and animal material."
what is mound planting.,Okusimba entuumu kizingiramu okukola entuumu oba obusozi nga batuuma ettaka okwetooloola omusingi gw’ekikolo kya muwogo
What is the recommended spacing for cassava?,ebanga lya mmita 1.0 x mmita 1.0 (fuuti 3 x ffuuti 3) litera okukozesebwa okusimba muwogo
which animal require a diet that is lower in protein but higher in carbohydrates.,embizzi
name one GMO crop used by farmers.,insect-resistant crops
What damage do sucking pest cause to plants like beans in the garden,"Sucking pests, such as aphids, whiteflies, and mites, can cause significant damage to plants like beans in the garden. These pests feed on the sap of the plant, which can weaken and stunt its growth. They also often transmit plant viruses, which can cause even more damage."
how can rainfall increase water quality.,"improve water quality by replenishing rivers, streams, and groundwater supplies"
why should farmers implement disease prevention strategies.,to prevent the spread of disease among their livestock
which provides nutrients that is important for root development and flower and fruit production.,Ebigimusa bya Phosphorus
name districts in karamoja regions that can be affected by drought.,"Abim, Amudat, Kaabong, Kotido, Moroto, Napak, ne Nakapiripirit"
"apart from maintaining soil structure, what are some of use of soil air.","soil air plays a key role in the cycling of nutrients, such as nitrogen, carbon, and sulfur, which are essential for plant growth. Soil air also supports the activities of soil microorganisms, which are important for breaking down organic matter and releasing nutrients into the soil"
why is forest pests control difficult.,because it is not easy to access the canopy and monitor pest populations
why should the garden be harrowed after ploughing.,to break down any large clumps and create a fine tilth for planting
name any one example of compound fertilizers.,10-20-10 or 14-14-14
what kinds of seeds should be used when planting cassava.,High-quality and disease-free planting materials
Name cultural techniques for managing crop nutrients use.,crop rotation or a fallow period
What are the measures farmers can take minimize crop losses during storage,"Harvesting crops at the right time and in the right way is important to ensure that they are not damaged during the process. The crops should be harvested when they are mature but not overripe, and the tools used should be in good condition to prevent damage to the crops."
how can farmers improve soil fertility of a clay soil.,"Okulongoosa amazzi agakulukuta: Teeka ebiramu, gamba nga nnakavundira oba obusa obuvunze obulungi, mu ttaka okulongoosa ensengekera yaalwo n’obusobozi bw’okufulumya amazzi. Ennongoosereza mu ttaka: Mu ttaka ery’ebbumba ssaamu omusenyu oba ebintu ebirala ebikalu okusobola okulongoosa obutonde bwalyo n’okwongera ku busobozi bwalyo obw’okufulumya amazzi. Teeka mu nkola enkola entuufu ey’okulima: Weewale okulima ennyo oba okukola ettaka nga liri nnyo, kubanga kino kiyinza okuvaako okunyigirizibwa. Kozesa obukodyo obutuufu obw’okulima okumenyawo layers z’ettaka ezikwatagana n’okulongoosa okuyingira kw’ebikoola. Siiga ebiramu: Bulijjo ssaako ebiramu, gamba nga nnakavundira oba ebirime ebibikka, mu ttaka okusobola okutumbula obugimu bwalyo, ensengeka yaalyo n’obusobozi bw’okukwata amazzi. Weegezeemu okukyusakyusa ebirime: Kyuusa emmwaanyi n’ebirime ebirala ebirina ensengekera y’ebikoola eby’enjawulo n’ebiriisa ebyetaagisa okuyamba okumenya ettaka erinywezeddwa n’okukendeeza ku bulabe bw’endwadde ezisibuka mu ttaka."
what are other pest management practices that can be used to manage mealybug infestations.,"the use of resistant varieties, maintaining proper plant nutrition and moisture levels, and minimizing weed growth around the cassava plants."
which farming tools can spread bacterial blight when contaminated.,pruning shears or machetes
which body oversees organic certification>,USDA National Organic Program (NOP)
what is the importance of crop rotation.,"Okussa mu nkola enkola z’okukyusakyusa ebirime kiyamba okumenyawo enzirukanya y’okukulugguka kw’ettaka. Okukyusakyusa okulima emmwaanyi n’ebirime ebirala, gamba ng’ebinyeebwa oba ebirime ebikoola, kiyamba okutumbula obulamu bw’ettaka, okukendeeza ku kukulugguka kw’ettaka, n’okukendeeza ku kukendeera kw’ebiriisa."
which fruit crops can cassava be intercropped with?,"emiyembe, citrus, ne ovakedo"
how can farmers control Cassava green mite.,kikulu okulondoola buli kiseera ekirime kya muwogo okulaba oba waliwo obubonero obulaga nti kirime. Okuzuula amangu n’okuzijjanjaba kiyinza okuziyiza enkwa okusaasaana n’okukendeeza ku kwonooneka kw’ebirime
What is the right spacing of cassava,"The recommended spacing for cassava depends on various factors such as the variety of cassava, soil fertility, and the intended use of cassava (for roots or leaves). However, a commonly used spacing for cassava is around 1 meter (3 feet) between plants within rows and 1.5 to 2 meters (5 to 6.5 feet) between rows. This spacing allows sufficient room for the cassava plants to grow and develop a healthy root system. It is advisable to consult local agricultural extension services or cassava experts for specific spacing recommendations tailored to your local conditions."
what are the signs and symptoms of cassava mealybugs.,"okukula okulemererwa, okuwotoka, ebikoola okufuuka ebya kyenvu, n’okukendeeza ku makungula"
how long does TZECOMP 3 takes to mature.,90 days
what is the importance of crop rotation.,"Okussa mu nkola enkola z’okukyusakyusa ebirime kiyamba okumenyawo enzirukanya y’okukulugguka kw’ettaka. Okukyusakyusa okulima emmwaanyi n’ebirime ebirala, gamba ng’ebinyeebwa oba ebirime ebikoola, kiyamba okutumbula obulamu bw’ettaka, okukendeeza ku kukulugguka kw’ettaka, n’okukendeeza ku kukendeera kw’ebiriisa."
what transmits cassava mosaic disease.,Bemisia tabaci
Which condition is suitable for maize plantation,"Maize thrives in warm temperatures and requires an average temperature of 21-27�C during the growing season. It also requires a good amount of sunshine, ideally 8-10 hours of sunlight per day. Maize grows well in well-drained soils with good water retention capacity. The soil should have a pH of 5.5 to 7.5. Maize also requires sufficient rainfall or irrigation during the growing season. The recommended altitude for planting maize is between 0 and 2500 meters above sea lev"
What are windmills used for?,okukola amaanyi n’okusena eŋŋaano okuva edda
what is GMO in full.,Ebiramu ebikyusiddwa mu buzaale
name any one planting method that is suitable for large scale farmers.,Okusimba muwogo mu byuma
which provides nutrients that is important for root development and flower and fruit production.,Phosphorus Fertilizers
when can Calcium Ammonium Nitrate (CAN) be applied in maize?,Oluvannyuma lwa wiiki 2-3 oba ng’ekirime kiweza sentimita nga 45 obuwanvu
what is Field inspection.,"Okukebera ennimiro y’ensigo okukola okukebera okuzuula enkyukakyuka y’ebirime entuufu, . okwawula, okusiba, okusaawa oba okugoberera omutindo gw’ensigo"
what is Payment for ecosystem services.,y’enkola ey’okuwa ebisikiriza ebirala okukubiriza abalimi okukuuma ebimu ku bintu ebikwata ku butonde bw’ensi
what is the importance of soil management.,it helps farmers to identify nutrient deficiencies or excesses in the soil and adjust their fertilization practices accordingly.
how does water spread blight in cassava field.,Enkuba n’amazzi g’okufukirira gasobola okusaasaanya obuwuka buno okuva mu bimera ebirina akawuka okutuuka ku biramu naddala mu bitundu omuli enkuba ennyingi ate nga n’obunnyogovu bungi.
Name the virus that causes Cassava Brown Steak Disease.,Akawuka akayitibwa Cassava Brown Streak Virus (CBSV) ne kawuka ka Ugandan Cassava Brown Streak Virus (UCBSV)
which year was Apple farming introduced in Uganda?,1999. Omuwandiisi w’ebitabo
what is wilting point?,"This refers to the point at which the soil has lost so much water that plants begin to wilt and cannot recover their turgidity even when water is added. At this point, the soil is extremely dry, and the water is held tightly to the soil particles."
Do brown cows produce chocolate milk?,Nedda
what transmits cassava mosaic disease.,Bemisia tabaci
which crops can be grown together with cassava.,"beans, maize, or vegetables"
What characteristics should a good crop store have to prevent pest,"Good ventilation: Proper air circulation is crucial to prevent the buildup of moisture, which can attract pests like molds, mites, and insects. The store should have vents or fans to allow fresh air to enter and stale air to exit. Dryness: Most pests prefer humid conditions, so a dry store is less attractive to them. The store should be free from leaks, and the walls and floor should be made of materials that do not absorb moisture. Cleanliness: A clean store reduces the likelihood of pest infestation. Any spilled grain or produce should be promptly cleaned up, and the store should be regularly swept and sanitized. Pest monitoring: Regular inspection of stored crops is essential to detect any signs of pest infestation early. Traps or baits can be used to monitor and control pests. Pest control: If pests are detected, appropriate control measures should be taken immediately. This can include the use of insecticides, fumigation, or physical removal of infested crops. Proper storage containers: Crops should be stored in appropriate containers, such as airtight containers, to prevent pests from entering. The containers should be made of materials that do not release harmful chemicals or odors that can affect the quality of the stored crops. Proper storage location: The store should be located away from sources of pests, such as animal pens or garbage dumps. Additionally, the store should be located in an area that is accessible for regular monitoring and maintenance."
What farming practices destroy soil nutrient,"Okukozesa ennyo ebigimusa ebikoleddwa mu butonde: Okukozesa ennyo ebigimusa ebikoleddwa mu butonde kiyinza okuvaako ettaka okufuuka asidi n’obutakwatagana n’ebiriisa, ekiyinza okukendeeza ku bugimu bw’ettaka n’ebibala mu bbanga."
name any one planting method that is suitable for large scale farmers.,Okusimba muwogo mu byuma
what is the ideal storage temperature for beans?,between 10-15�C
what interval should CAN be used.,ebbanga eri wakati wa wiiki 6
name any one example of compound fertilizers.,10-20-10 oba nga 14-14-14
what is irrigation?,Irrigation is the process of applying water to crops in order to help them grow
give two cultural crop protection practices.,okukyusakyusa ebirime n’okugatta ebirime.
"how does precision agriculture technologies, such as remote sensing, soil sensors, and variable-rate application systems help farmers and agronomist.",allow agronomists to optimize fertilizer use by applying nutrients precisely where and when they are needed. This helps reduce wastage and environmental impact.
what spreads Cassava Mosaic Disease (CMD),enseenene enjeru
Name one breed of a horse,ponies
give examples of Potassium Fertilizers.,potassium chloride and potassium sulphate
what are the general steps for planting cassava stems.,"Select healthy cassava stems: Choose stems that are healthy, mature, and disease-free. Ideally, the stems should be about 20 to 30 cm long, and should have at least one node. Cut the stems: Cut the stems into sections, each containing at least one node. The nodes are the points where the leaves and roots will grow. Allow the cuttings to dry: Allow the cuttings to dry for a few hours in a shaded area. This will help to reduce the risk of fungal infection and other diseases. Prepare the planting site: Clear the planting site of weeds and other debris, and loosen the soil to a depth of about 20 cm. Plant the cuttings: Plant the cassava cuttings in the soil, burying them to a depth of about 5 to 10 cm. Space the cuttings about 1 meter apart. Water the cuttings: Water the cuttings immediately after planting, and continue to water them regularly until they are established."
what does the beetle feeds on?,"Both types of beetles feed on the leaves and stems of cassava plants, causing them to wilt, yellow and eventually die."
what are some of the symptoms and signs of CAD,"obutundutundu obutono, obwekulungirivu, obunnyika amazzi ku bikoola obugaziwa ne bufuuka ebiwundu ebinene, ebya kitaka enzirugavu oba ebiddugavu. Ebikoola ebirimu obuwuka biyinza okukyusibwakyusibwa ne bikala"
How often can i sprinkle liquid manure?,"Okutwalira awamu, obusa obw’amazzi busobola okusiigibwa buli luvannyuma lwa wiiki 2-4 mu sizoni y’okukula ku birime ebisinga obungi. Wabula kikulu okwewala okusiiga ekisukkiridde ekiyinza okuvaako ebiriisa obutakwatagana, obucaafu bw’amazzi, n’okwonooneka kw’ebimera."
which population is vulnerable in agriculture.,Emyaka 0 6
How can farmers control maize streak disease?,"Intercropping can also reduce the number of infections, as this might lead to confusion for the vectors in finding the maize plant for feeding. Use of barriers such as bare ground between early and late-planted maize to limit movement of leafhoppers could also reduce the spread of the virus. Maize hybrids that are resistant to maize streak virus play an important role in reducing maize streak virus incidence in integrated pest management systems."
how are beans planted?,The seeds are planted at a depth of 1-2 inches and spaced about 2-4 inches apart in rows
which fungal disease affects cassava,Root rot
any maize market out there?,There are several markets available but all depends on where you are based.Where are you based
Are we losing family farms because corporate farms are taking over American Agriculture?,Ennimiro za America s zikyali faamu za famire
what are organic fertilizers.,"Organic fertilizers are made from natural materials such as compost, manure, and bone meal. They can provide a range of nutrients and help to improve soil structure and fertility over time."
what are some of the advantages of Band placement of fertilizers.,"By placing the fertilizers in rows, you can specifically target the area around the plant roots where nutrient uptake is most active. This allows for more efficient use of the fertilizer and reduces the risk of nutrient loss through leaching or runoff."
which components of preservatives can cause cancer.,nitrates and nitrites
How can a farmer control termites,"One of the best ways to control termites is through good cultural practices. This includes maintaining good soil health and fertility, avoiding over-watering or waterlogging, and keeping crop residues and weeds under control. These practices can help to create a less favorable environment for termites and reduce their populations."
what should grapes be harvested?,"bwe zituuse ku buwoomi bwazo obujjuvu ne ssukaali, naye nga tezinnaba kwengera nnyo."
how can farmers improve soil fertility of a clay soil.,"Improve drainage: Incorporate organic matter, such as compost or well-rotted manure, into the soil to improve its structure and drainage capacity. Amend the soil: Add sand or other coarse materials to clay soil to improve its texture and increase its drainage ability. Implement proper tillage practices: Avoid over-tilling or working the soil when it is too wet, as this can lead to compaction. Use appropriate tillage techniques to break up compacted soil layers and improve root penetration. Apply organic matter: Regularly add organic matter, such as compost or cover crops, to the soil to enhance its fertility, structure, and water-holding capacity. Practice crop rotation: Rotate maize with other crops that have different root structures and nutrient requirements to help break up compacted soil and reduce the risk of soil-borne diseases."
why are cover crops used in cassava cultivation.,okuziyiza okukula kw’omuddo n’okutumbula obugimu bw’ettaka.
cam maize grow in clay soil,"es, maize can grow in clay soil. However, clay soil has certain characteristics that can affect maize growth and productivity. Clay soil tends to retain water and drain poorly, which can lead to waterlogged conditions and root suffocation if not properly managed. Additionally, clay soil can be compacted, making it harder for roots to penetrate and access nutrients."
What is total seed population in an acre?,"yawadde amagezi nti omuwendo gw’ebimera ku kasooli gwawukana, naye ekifo ekya bulijjo kiri ku bimera nga 20,000 ku 40,000 buli yiika. Kino kivvuunula emiwendo gy’ensigo nga 25,000 ku 50,000 buli yiika, okusinziira ku miwendo gy’okumera n’okufa kw’ensigo."
which beneficial microorganisms are contained in microbial fertilizers.,obuwuka ne ffene
Which two types of beans gives high yields...the climbing beans or the ordinary beans?,Ebinyeebwa byombi ebirinnya n’ebinyeebwa eby’omu nsiko (ebya bulijjo) bisobola okuwa amakungula amangi singa biba biddukanyizibwa bulungi era ne bikuzibwa mu mbeera entuufu.
what is milled maize?,emmwaanyi ezisiigibwa (era ezimanyiddwa nga obuwunga bw’emmwaanyi) zikolebwa nga zisena ebikuta by’ekimera ky’emmwaanyi ne bifuuka butto omulungi
where is Intensive farming practiced.,okusinga mu nsi ezaakulaakulana
which herbicide kills all plants except those with genetic tolerance.,Glyphosate
what type of fertilizers can be applied for maize?,"DAP, NPK, and CAN"
What is crop cultivation?,"y’enkola y’okulima ebirime okusobola okufuna emmere, ebiwuziwuzi oba amafuta"
what is animal welfare?,kitegeeza embeera ensolo mw’ekuzibwa
why should the housing be kept well ventilated and clean.,okutangira endwadde okusaasaana.
which phase in polyphenism in which the larvae raised in groups turns black.,gregaria
what are principal factors of soil quality.,"okufuula ettaka omunnyo, pH, bbalansi y’obuwuka obutonotono n’okuziyiza obucaafu bw’ettaka"
Is buying organic food better for the environment than buying food produced conventionally?,"Ultimately, environmental sustainability comes down to the farmer, whether they produce goods organically or conventionally."
when do moths travel?,during the day
what is GMO in full.,Genetically modified organisms
which year was Kawanda Composite A released.,1971
what is the percentage of land degradation worldwide.,24%
how can timing and method of fertilizer application improves soil fertility.,"Ebiseera n’enkola y’okusiiga ebigimusa, gamba ng’okusiiga kungulu, okubiweereza ku mpewo oba okubiteeka, bisobola okukosa ebiriisa ebiriwo n’okubitwala mu birime. Okugeza, okusiiga ekigimusa kya nayitrojeni ng’osimba kiyinza okutumbula okukula n’okukula kw’ebirime amangu, ate okusiiga ku mabbali oba okubisiiga waggulu kiyinza okutumbula okukula n’okubala oluvannyuma."
what is GMO in full.,Ebiramu ebikyusiddwa mu buzaale
which key districts produces maize in uganda?,"Masindi, Kapchorwa, Kasese, Jinja, Kabarole and Mbale"
Where can we get fertilizer on low price for maize?,"Agricultural input suppliers: Visit local agricultural input suppliers or agro-dealers in your area. They often offer a range of fertilizers, including both synthetic and organic options, at competitive prices. Inquire about any discounts or promotions they may have. Farmer cooperatives: Joining a farmer cooperative or collective can provide access to bulk purchasing and discounted prices on agricultural inputs, including fertilizers. Cooperative members often benefit from collective bargaining power and can negotiate better prices with suppliers. Government subsidies or programs: In some countries, governments may offer subsidies or support programs for agricultural inputs, including fertilizers. Check with local agricultural extension services or government agricultural agencies to see if there are any such programs available in your area. Local composting or organic waste initiatives: If you are interested in organic fertilizers, consider exploring local composting initiatives or organic waste management programs. These initiatives may offer compost or organic fertilizers at lower prices or even for free, as they aim to promote sustainable waste management practices."
what is physical dormancy?,"kibaawo ng’ekkooti y’ensigo teyitamu mazzi na ggaasi, ekiremesa embuto okunyiga amazzi n’okutandika okumera."
what are the benefits of crop domestication.,"increased yield, improved disease resistance and drought tolerance, eased harvest and improved the taste and nutritional value of crop plants"
what is common cause of fatal agricultural injuries in developed countries.,okuyiringisibwa kwa tulakita
"For example, if the beans are infested with bean weevils or bean fly, when is it recommended to spray?","kirungi okusiiga eddagala ly’ebiwuka ku ntandikwa y’okukula kw’ebimera, ng’ebiwuka bisinga kukola"
what is wilting point?,"This refers to the point at which the soil has lost so much water that plants begin to wilt and cannot recover their turgidity even when water is added. At this point, the soil is extremely dry, and the water is held tightly to the soil particles."
where are the south americans beetles,South America
List the Animal Care Principles for producers,"access to food and water, health and veterinary care, appropriate environmental and living conditions, implementing science?�based husbandry practices, using proper handling practices and providing comfortable and sanitary transportation to avoid stress"
"which control method employs the use of beneficial insects like ladybugs or lacewings, or the release of whitefly-specific parasites or predators.",Biological contro
why do we manage soil quality?,to produce optimum circumstances for crops to flourish
what kind of practices are used for crop protection?,"okukozesa eddagala eritta ebiwuka, eddagala eritta obuwuka, n’eddagala eddala, awamu n’enkola z’obuwangwa"
What is the best way to store harvested wheat to prevent spoilage?,Harvested wheat should be stored carefully to prevent spoilage and maintain quality
Which crops responds better in acidic soils?,Blueberries
"apart from providing nutrients, name important of applying fertilizers.","fertilizers can also improve soil structure and fertility over time. They can help to increase soil organic matter, improve soil water-holding capacity, and reduce erosion."
what is animal welfare?,refers to the conditions in which an animal is raised
how was harvesting done before the evolution of machinery?,Okukung’aanya n’okuggya ebimera ebikuze mu nnimiro byalina okukolebwa n’emikono
Do farmers waste water?,"Water is necessary to grow plants that provide food, fiber and shelter for the world"
what is the WHO death estimates from pesticides poisonings.,"220,000 deaths"
how many teats or nipples does a cow has?,"enfuli nnya, oba amabeere"
how can farmers mitigate leaf shedding in cassava during the dry season,"Okufukirira: Okufukirira ebimera bya muwogo mu biseera by’ekyeya kiyinza okuyamba okukendeeza ku situleesi y’amazzi n’okukuuma obunnyogovu bw’ettaka obumala. Okusiiga ebikuta: Okusiiga ebikuta eby’obutonde okwetoloola ebimera bya muwogo kiyinza okuyamba okukuuma obunnyogovu bw’ettaka, okutereeza ebbugumu ly’ettaka, n’okukendeeza ku kufuumuuka kw’amazzi okuva waggulu w’ettaka. Okugimusa: Okukakasa nti ebiriisa biba bituufu nga tuyita mu kugimusa mu ngeri ey’enjawulo kiyinza okuyamba okukuuma obulamu n’amaanyi g’ebimera bya muwogo, okukendeeza ku bulabe bw’ebbula ly’ebiriisa n’okuyiwa kw’amakoola okukwatagana nabyo. Enzirukanya y’ebiwuka n’endwadde: Okussa mu nkola enkola entuufu ey’okulwanyisa ebiwuka n’endwadde, gamba ng’okusikambula buli kiseera n’okukozesa obujjanjabi obusemba mu budde, kiyinza okuyamba okukendeeza ku kwonooneka kw’amakoola n’okuyiwa kw’amakoola oluvannyuma."
"which social insects live in large colonies in the soil and feed on wood, plant matter, and other cellulose-containing materials.",Termites
which species of armyworms are the most common.,fall armyworm
Any maize markets out there?,Akatale ka Nakasero
what is mound planting.,Mound planting involves creating mounds or hills by heaping soil around the base of the cassava stem
what are Fertilizers?,are substances that are added to soil to improve plant growth and increase crop yields
why should you cassava plant regularly.,to ensure that the cassava plants have enough nutrients and sunlight to grow
what are Calcium-based fertilizers?,"Ebigimusa ebirimu ekirungo kya calcium ekingi, nga calcium nitrate oba calcium carbonate, bisobola okuyamba okulongoosa ensengekera y’ettaka n’obusobozi bw’okukwata amazzi. Calcium ayamba okukuŋŋaanya obutundutundu bw’ebbumba mu ttaka, n’akola ebifo ebinene eby’obutuli n’okulongoosa amazzi agakulukuta."
which genetical method are researchers are exploring to control whitefly.,RNA interference (RNAi)
"which crop is normally referred to as nitrogen fixers,",ebirime by’ebinyeebwa
which substance is applied in acidic soil to balance soil PH.,lime
where is Intensive farming practiced.,mainly in developed countries
what is Aquaculture,okukola ebyennyanja eby’okulya abantu
how can farmers use diatomaceous earth.,"Okukozesa ettaka erya diatomaceous, bumala kulitabula mu nsigo z’ebinyeebwa ku sipiidi ya kkiro nga 0.5-1.0 buli kkiro 100 ez’ebinyeebwa. Kakasa nti ettaka lya diatomaceous lisaasaanyizibwa kyenkanyi mu nsigo zonna, era ensigo zitereke mu kifo ekiyonjo era ekikalu mu bidomola ebisibiddwa okuziyiza okuddamu okuyingira."
